diameter_um,concentration,point_group,point_type
0.052737216319498154,1.3236515112441167,0,median
0.052280108946064816,1.4771487196311899,0,upper_ci
0.05250816521928328,1.1753094202085372,0,lower_ci
0.07090251259838883,1.3729577745562274,1,median
0.06967872400534886,1.5604487284007764,1,upper_ci
0.06998267651117998,1.143508971994577,1,lower_ci
0.09449859050075254,1.5182275327523622,2,median
0.09449859050075254,1.7898338065430148,2,upper_ci
0.09367951043715461,1.3604616389890944,2,lower_ci
0.12270065495073552,2.487507474765941,3,median
0.1232358997054547,2.9325149730970748,3,upper_ci
0.12216773489967925,2.270155426924239,3,lower_ci
0.16640716534179922,2.6038669872737565,4,median
0.16640716534179922,2.879376645783408,4,upper_ci
0.16786213442666387,2.487507474765941,4,lower_ci
0.22082354045205688,3.069690847402154,5,median
0.22178681682407742,3.3026433798150086,5,upper_ci
0.21795874125144787,2.6762793069955757,5,lower_ci
0.2955965989560737,2.8272012059078637,6,median
0.29176175010500216,3.1550575102062135,6,upper_ci
0.29818112656453816,2.6038669872737565,6,lower_ci
0.39568856262119567,3.788130083714096,7,median
0.38717000253168476,4.2274204769314725,7,upper_ci
0.39914823711697733,3.1550575102062135,7,lower_ci
0.5273721631949815,4.506834479317068,8,median
0.5273721631949815,4.893386619603371,8,upper_ci
0.5250816521928329,4.2274204769314725,8,lower_ci
0.7121180351439854,3.3944883432924664,9,median
0.6998267651117998,3.89347620473733,9,upper_ci
0.7028795491852715,3.1550575102062135,9,lower_ci
0.9367951043715462,2.2494933421179697,10,median
0.9449859050075249,2.487507474765941,10,upper_ci
0.9408815916528311,1.9433482282177226,10,lower_ci
1.2540032924209454,2.398175012533957,11,median
1.2485568382117973,2.627784070960097,11,upper_ci
1.2649675800406714,2.2290193156902034,11,lower_ci
1.5319874179180695,1.1331011915070108,12,median
1.5453822397509747,1.2302875187946223,12,upper_ci
1.5453822397509747,1.034093704339924,12,lower_ci
1.92111726601672,0.502181092745126,13,median
1.9294975630921407,0.5452532705903085,13,upper_ci
1.9127733666960391,0.47104694976955575,13,lower_ci
2.3675061471725374,0.3451868706024047,14,median
2.377833681671422,0.3713823931028386,14,upper_ci
2.409087376711691,0.3297614375124266,14,lower_ci
2.981811265645383,0.22460679911889408,15,median
2.9688605033811877,0.23727292277161857,15,upper_ci
2.9688605033811877,0.21456975122852592,15,lower_ci
3.722960845978513,0.14219321971225618,16,median
3.690691549787557,0.15298397105190345,16,upper_ci
3.706791083193501,0.13216359591867446,16,lower_ci
4.588024294223426,0.15723838353851147,17,median
4.568097341575078,0.16014018685173104,17,upper_ci
4.548256936733884,0.1448173674985206,17,lower_ci
5.7284091064345075,0.056988977771901365,18,median
5.703529173440691,0.060755699927410416,18,upper_ci
5.803701988631617,0.053946787239288155,18,lower_ci
7.028795491852716,0.06020272482734635,19,median
7.05945650112376,0.06418186160598484,19,upper_ci
7.121180351439847,0.05857381451633086,19,lower_ci
8.89119842392971,0.0381129124863222,20,median
8.929983606628909,0.05647028593354511,20,upper_ci
8.89119842392971,0.02502716448477227,20,lower_ci
10.444883292373929,0.032925930282049744,21,median
10.30937920053124,0.047464975685819796,21,upper_ci
10.30937920053124,0.02009604168140089,21,lower_ci
11.696419335664277,0.04923305479832608,22,median
