diameter_um,concentration,point_group,point_type
0.052737216319498154,0.48414654452512856,0,median
0.052737216319498154,0.7717768142389425,0,upper_ci
0.05250816521928328,0.18536785064963573,0,lower_ci
0.07059456501123768,0.32083905389474576,1,median
0.07028795491852716,0.4378215702130394,1,upper_ci
0.07028795491852716,0.2126168195727623,1,lower_ci
0.09327263657405147,0.6915779927464624,2,median
0.09327263657405147,0.952405669908345,2,upper_ci
0.09327263657405147,0.47974002819457273,2,lower_ci
0.12540032924209452,1.0435920795592006,3,median
0.12431340393340436,1.3604616389890944,3,upper_ci
0.12540032924209452,0.685283514858824,3,lower_ci
0.16713306662107646,1.0061141419133681,4,median
0.16713306662107646,1.3236515112441167,4,upper_ci
0.1656844168358057,0.730577757695666,4,lower_ci
0.21890952079738332,0.952405669908345,5,median
0.22470193136316458,1.143508971994577,5,upper_ci
0.22275429519995588,0.7440604259229595,5,lower_ci
0.29818112656453816,0.7173394007315352,6,median
0.29303447311071157,0.8771705661360366,6,upper_ci
0.29818112656453816,0.560416508325693,6,lower_ci
0.3939699868802664,0.730577757695666,7,median
0.39568856262119567,0.8771705661360366,7,upper_ci
0.3905551956098403,0.5707588843031473,7,lower_ci
0.5205304317905689,0.952405669908345,8,median
0.5319832037838337,1.1646122042267835,8,upper_ci
0.5205304317905689,0.7717768142389425,8,lower_ci
0.7028795491852715,0.9788916249173144,9,median
0.6967872400534886,1.112568951246968,9,upper_ci
0.7090251259838882,0.8379722737652517,9,lower_ci
0.9286752986728489,0.8456692310585495,10,median
0.9286752986728489,1.0061141419133681,10,upper_ci
0.9327263657405152,0.7108104523798029,10,lower_ci
1.2485568382117973,0.8005256431397461,11,median
1.2485568382117973,0.9699821284439422,11,upper_ci
1.2649675800406714,0.685283514858824,11,lower_ci
1.5386702529042862,0.46251139335242214,12,median
1.5453822397509747,0.48859353566501873,12,upper_ci
1.5588941782454393,0.4378215702130394,12,lower_ci
1.8961941296667912,0.20686402797253767,13,median
1.9044657070454196,0.22460679911889408,13,upper_ci
1.9044657070454196,0.18878877772274885,13,lower_ci
2.3986240994919283,0.1434992953113975,14,median
2.388206266937739,0.15159156956855788,14,upper_ci
2.388206266937739,0.1309606935117353,14,lower_ci
2.930344731107116,0.07635878928133454,15,median
2.943127479882774,0.08521373402391647,15,upper_ci
2.930344731107116,0.07097280863208172,15,lower_ci
3.6746619407366916,0.056988977771901365,16,median
3.706791083193501,0.06187693437016435,16,upper_ci
3.690691549787557,0.054442300194180684,16,lower_ci
4.568097341575078,0.05296925018861987,17,median
4.548256936733884,0.057512433907422514,17,upper_ci
4.528502703800777,0.049685271097200265,17,lower_ci
5.654093017691075,0.018173176331657114,18,median
5.703529173440691,0.01991313521051931,18,upper_ci
5.654093017691075,0.017843871212638147,18,lower_ci
7.214779496218641,0.018173176331657114,19,median
7.152244361913536,0.019552301350721384,19,upper_ci
7.121180351439847,0.016737589742471585,19,lower_ci
8.852581695111647,0.013563215862339674,20,median
8.89119842392971,0.014459685104043073,20,upper_ci
8.852581695111647,0.012957113786660123,20,lower_ci
10.957148372326984,0.005435939975608779,21,median
10.909558699131216,0.0057952318306776236,21,upper_ci
11.05295141126022,0.004960961428758649,21,lower_ci
13.800238066951671,0.0030837565106847445,22,median
13.680622527570105,0.0036688233669489342,22,upper_ci
13.740300134442833,0.0024761614289832328,22,lower_ci
16.93298249291042,0.0029459520813380057,23,median
16.859438257158146,0.0037025223062290744,23,upper_ci
17.081034807791998,0.0022392329289507794,23,lower_ci
21.141791082843927,0.0015391933676138555,24,median
21.234015796615882,0.0019882813059786037,24,upper_ci
21.326642813002433,0.0011074942898096358,24,lower_ci
26.054276454790294,0.002814305745434042,25,median
26.511875625562084,0.003472973921158993,25,upper_ci
26.74368030379053,0.0019882813059786037,25,lower_ci
32.814670890681796,0.0007140674645604852,26,median
32.95781503672673,0.0011074942898096358,26,upper_ci
33.10158360611618,0.000305103637800419,26,lower_ci
41.32920856705584,0.0003765109668879182,27,median
41.149705336624706,0.0007140674645604852,27,upper_ci
41.32920856705584,0.00010857702101242673,27,lower_ci
